pedido_id,data_pedido,cliente_id,canal_venda,valor_total
4001,2025-11-26,321,email,385.75
4002,2025-11-26,311,email,354.63
4003,2025-11-26,387,social,290.33
4004,2025-11-26,128,email,339.48
4005,2025-11-26,403,organico,576.69
4006,2025-11-26,431,social,258.4
4007,2025-11-26,366,email,443.68
4008,2025-11-26,105,email,104.5
4009,2025-11-26,226,social,383.49
4010,2025-11-26,486,pago,356.93
4011,2025-11-26,348,social,411.01
4012,2025-11-26,466,organico,518.47
4013,2025-11-26,408,organico,433.11
4014,2025-11-26,333,email,388.33
4015,2025-11-26,231,pago,520.09
4016,2025-11-26,147,social,176.89
4017,2025-11-26,342,social,40.65
4018,2025-11-26,145,social,216.52
4019,2025-11-26,419,organico,573.39
4020,2025-11-26,176,social,214.94
4021,2025-11-26,129,organico,82.9
4022,2025-11-26,214,social,218.89
4023,2025-11-26,448,organico,134.62
4024,2025-11-26,434,email,42.71
4025,2025-11-26,347,pago,152.94
4026,2025-11-26,449,pago,245.41
4027,2025-11-26,155,email,101.0
4028,2025-11-26,295,email,481.19
4029,2025-11-26,324,pago,280.51
4030,2025-11-26,276,organico,151.34
4031,2025-11-26,121,social,286.85
4032,2025-11-26,369,email,150.19
4033,2025-11-26,317,pago,430.35
4034,2025-11-26,105,pago,339.59
4035,2025-11-26,123,social,154.94
4036,2025-11-26,237,social,422.1
4037,2025-11-26,226,social,452.2
4038,2025-11-26,113,email,185.65
4039,2025-11-26,112,email,404.7
4040,2025-11-26,182,email,72.97
4041,2025-11-26,422,social,512.99
4042,2025-11-26,330,email,464.09
4043,2025-11-26,363,email,130.65
4044,2025-11-26,492,social,97.67
4045,2025-11-26,494,social,393.2
4046,2025-11-26,185,social,585.51
4047,2025-11-26,438,social,76.68
4048,2025-11-26,414,email,361.35
4049,2025-11-26,484,pago,393.22
4050,2025-11-26,313,social,546.92
4051,2025-11-26,412,pago,480.12
4052,2025-11-26,363,social,305.53
4053,2025-11-26,439,email,380.32
4054,2025-11-26,205,email,419.76
4055,2025-11-26,268,social,196.5
4056,2025-11-26,429,social,238.42
4057,2025-11-26,373,pago,109.2
4058,2025-11-26,318,email,204.08
4059,2025-11-26,373,social,201.61
4060,2025-11-26,437,email,128.42
4061,2025-11-26,357,social,526.17
4062,2025-11-26,482,pago,246.53
4063,2025-11-26,430,email,379.28
4064,2025-11-26,177,email,350.25
4065,2025-11-26,356,pago,34.73
4066,2025-11-26,465,email,476.78
4067,2025-11-26,483,social,99.62
4068,2025-11-26,409,social,265.7
4069,2025-11-26,123,email,591.77
4070,2025-11-26,397,pago,340.86
4071,2025-11-26,448,pago,429.75
4072,2025-11-26,167,organico,156.57
4073,2025-11-26,256,organico,534.42
4074,2025-11-26,206,social,272.82
4075,2025-11-26,257,pago,522.94
4076,2025-11-26,238,pago,527.56
4077,2025-11-26,408,social,526.1
4078,2025-11-26,132,social,78.92
4079,2025-11-26,165,email,380.06
4080,2025-11-26,148,organico,336.96
4081,2025-11-26,203,email,392.81
4082,2025-11-26,287,social,145.87
4083,2025-11-26,120,social,107.23
4084,2025-11-26,129,email,298.81
4085,2025-11-26,448,social,369.33
4086,2025-11-26,429,organico,266.65
4087,2025-11-26,173,email,479.55
4088,2025-11-26,295,email,223.54
4089,2025-11-26,337,email,232.27
4090,2025-11-26,392,email,210.29
4091,2025-11-26,249,pago,49.01
4092,2025-11-26,426,organico,232.66
4093,2025-11-26,399,email,542.58
4094,2025-11-26,411,social,584.89
4095,2025-11-26,409,pago,70.68
4096,2025-11-26,256,email,522.62
4097,2025-11-26,409,email,564.8
4098,2025-11-26,439,social,111.33
4099,2025-11-26,298,social,313.45
4100,2025-11-26,263,pago,562.98
4101,2025-11-26,475,social,272.33
4102,2025-11-26,122,organico,319.72
4103,2025-11-26,401,social,578.35
4104,2025-11-26,211,social,359.68
4105,2025-11-26,453,pago,382.26
4106,2025-11-26,325,email,499.07
4107,2025-11-26,213,organico,286.2
4108,2025-11-26,482,pago,572.49
4109,2025-11-26,133,social,392.47
4110,2025-11-26,436,email,201.78
4111,2025-11-26,386,social,437.4
4112,2025-11-26,349,email,569.22
4113,2025-11-26,388,social,357.81
4114,2025-11-26,351,email,434.44
4115,2025-11-26,443,email,266.45
4116,2025-11-26,115,pago,233.46
4117,2025-11-26,256,social,539.75
4118,2025-11-26,267,email,503.44
4119,2025-11-26,353,email,143.07
4120,2025-11-26,204,social,513.69
4121,2025-11-26,466,organico,180.47
4122,2025-11-26,367,social,296.99
4123,2025-11-26,258,organico,64.27
4124,2025-11-26,162,email,517.88
4125,2025-11-26,221,organico,552.98
4126,2025-11-26,161,organico,456.31
4127,2025-11-26,372,email,122.77
4128,2025-11-26,394,organico,522.37
4129,2025-11-26,154,organico,592.58
4130,2025-11-26,100,social,527.76
4131,2025-11-26,210,email,144.75
4132,2025-11-26,144,pago,376.97
4133,2025-11-26,229,social,296.41
4134,2025-11-26,420,organico,204.3
4135,2025-11-26,375,social,317.17
4136,2025-11-26,281,organico,496.99
4137,2025-11-26,286,pago,569.68
4138,2025-11-26,440,email,508.48
4139,2025-11-26,439,organico,584.81
4140,2025-11-26,472,pago,35.44
4141,2025-11-26,380,pago,188.01
4142,2025-11-26,421,pago,99.74
4143,2025-11-26,460,pago,284.97
4144,2025-11-26,130,pago,100.35
4145,2025-11-26,399,pago,116.56
4146,2025-11-26,465,organico,245.24
4147,2025-11-26,403,pago,113.21
4148,2025-11-26,247,email,184.29
4149,2025-11-26,114,organico,221.19
4150,2025-11-26,254,pago,301.78
4151,2025-11-26,331,social,245.08
4152,2025-11-26,281,email,79.07
4153,2025-11-26,424,pago,383.85
4154,2025-11-26,318,social,281.27
4155,2025-11-26,105,pago,501.39
4156,2025-11-26,356,email,551.47
4157,2025-11-26,462,organico,540.65
4158,2025-11-26,440,social,317.91
4159,2025-11-26,431,pago,386.04
4160,2025-11-26,322,organico,79.47
4161,2025-11-26,151,pago,277.77
4162,2025-11-26,127,email,168.36
4163,2025-11-26,309,organico,596.29
4164,2025-11-26,117,organico,453.03
4165,2025-11-26,256,pago,133.05
4166,2025-11-26,392,email,129.73
4167,2025-11-26,312,pago,377.16
4168,2025-11-26,316,social,597.67
4169,2025-11-26,388,organico,324.18
4170,2025-11-26,396,pago,584.23
4171,2025-11-26,351,organico,568.56
4172,2025-11-26,213,pago,133.0
4173,2025-11-26,240,email,121.59
4174,2025-11-26,341,email,592.13
4175,2025-11-26,498,email,583.34
4176,2025-11-26,442,organico,55.35
4177,2025-11-26,237,pago,218.87
4178,2025-11-26,293,social,543.13
4179,2025-11-26,294,pago,172.13
4180,2025-11-26,438,social,311.09
4181,2025-11-26,178,pago,315.4
4182,2025-11-26,177,social,449.38
4183,2025-11-26,404,organico,524.45
4184,2025-11-26,111,email,381.91
4185,2025-11-26,248,email,524.44
4186,2025-11-26,185,social,253.33
4187,2025-11-26,240,social,323.65
4188,2025-11-26,213,organico,413.63
4189,2025-11-26,489,email,332.01
4190,2025-11-26,375,organico,148.81
4191,2025-11-26,434,pago,232.76
4192,2025-11-26,465,email,354.92
4193,2025-11-26,327,social,57.15
4194,2025-11-26,451,social,72.06
4195,2025-11-26,214,social,405.6
4196,2025-11-26,193,pago,187.26
4197,2025-11-26,371,social,294.26
4198,2025-11-26,315,organico,234.28
4199,2025-11-26,135,email,452.68
4200,2025-11-26,493,email,102.36
4201,2025-11-26,399,email,120.2
4202,2025-11-26,118,social,324.43
4203,2025-11-26,124,social,82.74
4204,2025-11-26,490,email,281.82
4205,2025-11-26,342,pago,242.47
4206,2025-11-26,170,social,49.2
4207,2025-11-26,232,social,471.03
4208,2025-11-26,433,social,575.16
4209,2025-11-26,435,organico,569.02
4210,2025-11-26,463,organico,354.21
4211,2025-11-26,465,organico,589.05
4212,2025-11-26,434,social,376.57
4213,2025-11-26,489,social,288.28
4214,2025-11-26,393,organico,119.45
4215,2025-11-26,175,social,82.95
4216,2025-11-26,296,pago,222.47
4217,2025-11-26,484,email,551.81
4218,2025-11-26,489,pago,164.27
4219,2025-11-26,436,organico,363.02
4220,2025-11-26,285,social,495.55
4221,2025-11-26,423,organico,207.06
4222,2025-11-26,487,pago,91.23
4223,2025-11-26,134,email,210.26
4224,2025-11-26,276,pago,355.53
